Date,Close,High,Low,Open,Volume,Price Range,Short MA,Long MA,Middle_Band,Upper_Band,Lower_Band
2015-08-06,278.5769958496094,281.906005859375,278.40301513671875,281.906005859375,18792100,"[178, 10178)",271.57389862060546,249.38750511169434,283.3696487426758,296.3245085665519,270.4147889187997
2015-08-07,279.5849914550781,280.3919982910156,276.3659973144531,278.7409973144531,42484800,"[178, 10178)",272.1854583740234,249.71112510681152,283.6038482666016,296.0743905202509,271.13330601295223
2015-08-08,260.99700927734375,279.9280090332031,260.7099914550781,279.74200439453125,58533000,"[178, 10178)",272.51327850341795,249.95953514099122,282.972998046875,298.47855866802604,267.4674374257239
2015-08-09,265.0830078125,267.00299072265625,260.4679870605469,261.1159973144531,23789600,"[178, 10178)",272.91069854736327,250.15046516418457,282.2780990600586,299.6681407298664,264.88805739025076
2015-08-10,264.4700012207031,267.0320129394531,262.59600830078125,265.4779968261719,20979400,"[178, 10178)",273.3212185668945,250.30578514099122,281.70994873046874,300.6591751309832,262.76072232995426
2015-08-11,270.385986328125,270.385986328125,264.093994140625,264.3420104980469,25433900,"[178, 10178)",273.78913818359376,250.49332008361816,281.36814880371094,300.8960040588568,261.84029354856506
2015-08-12,266.3760070800781,270.6730041503906,265.468994140625,270.5979919433594,26815400,"[178, 10178)",274.23073822021485,250.5859651184082,280.8844985961914,301.42018824840375,260.34880894397907
2015-08-13,264.0799865722656,266.23199462890625,262.84100341796875,266.1830139160156,27685500,"[178, 10178)",274.7020379638672,250.63777503967285,279.6745971679687,301.2034977842581,258.14569655167935
2015-08-14,265.67999267578125,267.46600341796875,261.4779968261719,264.1319885253906,27091200,"[178, 10178)",275.1596578979492,250.59881004333496,278.523747253418,300.4784886083005,256.56900589853547
2015-08-15,261.5509948730469,266.6669921875,261.2959899902344,265.52899169921875,19321100,"[178, 10178)",275.5187979125977,250.5891899871826,276.96699676513674,299.1081041413935,254.82588938888
2015-08-16,258.5069885253906,262.44000244140625,257.0409851074219,261.8659973144531,29717000,"[178, 10178)",275.6691375732422,250.71214996337892,275.21114654541014,297.3601263422866,253.06216674853368
2015-08-17,257.97601318359375,260.5050048828125,257.11700439453125,258.489990234375,21617900,"[178, 10178)",275.84843780517576,250.83446502685547,273.3885971069336,294.8686206173449,251.9085735965223
2015-08-18,211.07899475097656,257.9930114746094,211.07899475097656,257.9259948730469,42147200,"[178, 10178)",274.9287377929688,250.75773498535156,269.4630470275879,303.5014511516752,235.42464290350057
2015-08-19,226.6840057373047,237.40899658203125,222.76600646972656,225.67100524902344,60869200,"[178, 10178)",274.2009780883789,250.8038349914551,266.41114807128906,304.2856982149677,228.53659792761047
2015-08-20,235.35000610351562,237.36500549316406,226.8990020751953,226.8990020751953,32275000,"[178, 10178)",273.7355581665039,250.8457250213623,263.94614868164064,303.2141937035992,224.67810365968205
2015-08-21,232.56900024414062,236.4320068359375,231.7239990234375,235.35499572753906,23173800,"[178, 10178)",273.2786981201172,250.81742500305177,261.49454803466796,302.2170395521601,220.77205651717586
2015-08-22,230.38999938964844,234.95700073242188,222.70399475097656,232.66200256347656,23205900,"[178, 10178)",272.75977813720704,250.83303497314452,258.88334732055665,300.58938621771784,217.1773084233955
2015-08-23,228.16900634765625,232.7050018310547,225.5800018310547,230.37600708007812,18406600,"[178, 10178)",272.10543853759765,250.83961502075195,256.23044815063474,298.69528161818846,213.76561468308103
2015-08-24,210.4949951171875,228.13900756835938,210.4429931640625,228.11199951171875,59220700,"[178, 10178)",270.8770785522461,250.8065350341797,252.4942985534668,297.3044779953166,207.684119111617
2015-08-25,221.60899353027344,226.3209991455078,199.56700134277344,210.0679931640625,61089200,"[178, 10178)",269.9286584472656,250.8032499694824,249.48064880371095,294.07566129533114,204.88563631209072
2015-08-26,225.83099365234375,231.18299865722656,220.20399475097656,222.0760040283203,31808000,"[178, 10178)",269.1211383056641,250.79363494873047,246.84334869384764,290.4202586850958,203.2664387025995
2015-08-27,224.7689971923828,228.64300537109375,223.6840057373047,226.0500030517578,21905400,"[178, 10178)",268.20081817626954,250.800419921875,244.1025489807129,285.86634799369887,202.33874996772693
2015-08-28,231.39599609375,235.218994140625,220.92599487304688,224.7010040283203,31336600,"[178, 10178)",267.4441781616211,250.856849899292,242.62249832153321,283.9612618593433,201.28373478372313
2015-08-29,229.77999877929688,233.2220001220703,227.3300018310547,231.5489959716797,17142500,"[178, 10178)",266.3418978881836,250.90655487060548,240.85734786987305,281.1598453686235,200.5548503711226
2015-08-30,228.76100158691406,232.0679931640625,226.2469940185547,229.89500427246094,19412600,"[178, 10178)",265.05481811523435,250.95443489074708,239.0718978881836,278.1140916882068,200.02970408816037
2015-08-31,230.05599975585938,231.95599365234375,225.9149932861328,229.11399841308594,20710700,"[178, 10178)",263.43859802246095,250.99589485168457,237.0553985595703,273.3575810454332,200.7532160737074
2015-09-01,228.12100219726562,231.21600341796875,226.86000061035156,230.25599670410156,20575200,"[178, 10178)",262.15993835449217,250.95936485290528,235.14264831542968,268.8807518321296,201.40454479872977
2015-09-02,229.28399658203125,230.57699584960938,226.47500610351562,228.02699279785156,18760400,"[178, 10178)",260.99633850097655,250.81917976379395,233.40284881591796,264.32941530754397,202.47628232429196
2015-09-03,227.18299865722656,229.60499572753906,226.66700744628906,229.32400512695312,17482000,"[178, 10178)",259.82341827392577,250.78096977233886,231.47799911499024,258.49035901067936,204.46563921930115
2015-09-04,230.29800415039062,230.89999389648438,227.05099487304688,227.21499633789062,20962400,"[178, 10178)",258.86759857177736,250.76324478149414,229.91534957885742,252.92148551866572,206.9092136390491
2015-09-05,235.0189971923828,236.14300537109375,229.4429931640625,230.19900512695312,20671400,"[178, 10178)",257.97853881835937,250.7202897644043,228.74095001220704,247.63161602345582,209.85028400095825
2015-09-06,239.83999633789062,242.91200256347656,234.68099975585938,234.8699951171875,25473700,"[178, 10178)",257.2773187255859,250.73785972595215,227.8341491699219,241.95487787863365,213.71342046121012
2015-09-07,239.8470001220703,242.1060028076172,238.7220001220703,239.9340057373047,21192200,"[178, 10178)",256.60197845458987,250.7356797027588,229.27254943847657,241.99897973346916,216.546119143484
2015-09-08,243.60699462890625,245.781005859375,239.67799377441406,239.8459930419922,26879200,"[178, 10178)",255.8944985961914,250.7348196411133,230.11869888305665,244.28891238682647,215.94848537928684
2015-09-09,238.16799926757812,244.41600036621094,237.8209991455078,243.4149932861328,23635700,"[178, 10178)",255.14119842529297,250.70298965454103,230.25959854125978,244.70225191461188,215.81694516790768
2015-09-10,238.4770050048828,241.29299926757812,235.79100036621094,238.33599853515625,21215500,"[178, 10178)",254.366298828125,250.71548965454102,230.55499877929688,245.4316907570096,215.67830680158417
2015-09-11,240.10699462890625,241.16900634765625,238.32899475097656,238.32899475097656,19224700,"[178, 10178)",253.64745849609375,250.72156463623048,231.04084854125978,246.51744023756484,215.5642568449547
2015-09-12,235.22900390625,240.12399291992188,234.75399780273438,239.85499572753906,17962600,"[178, 10178)",252.58647827148437,250.70403465270996,231.39384841918945,246.91662773854108,215.87106909983783
2015-09-13,230.51199340820312,235.93499755859375,229.33200073242188,235.24200439453125,18478800,"[178, 10178)",251.4227783203125,250.66924461364746,232.39469833374022,244.4343329446481,220.35506372283234
2015-09-14,230.6439971923828,232.44000244140625,227.96099853515625,230.60899353027344,20997800,"[178, 10178)",250.18193817138672,250.64033462524415,232.8464485168457,243.81221120901793,221.88068582467346
2015-09-15,230.3040008544922,259.1820068359375,229.82200622558594,230.49200439453125,19177800,"[178, 10178)",248.91553833007814,250.52271461486816,233.07009887695312,243.60749906304062,222.53269869086563
2015-09-16,229.09100341796875,231.21499633789062,227.40199279785156,230.25,20144200,"[178, 10178)",247.608818359375,250.3968546295166,233.28619918823242,243.2695088107635,223.30288956570132
2015-09-17,229.80999755859375,230.28500366210938,228.92599487304688,229.0760040283203,18935400,"[178, 10178)",246.41321838378906,250.2448946380615,233.2068992614746,243.2782351139727,223.1355634089765
2015-09-18,232.97500610351562,234.35299682617188,232.18499755859375,233.52099609375,20242200,"[178, 10178)",245.31827880859376,250.03141960144043,233.36664962768555,243.30965353402974,223.42364572134136
2015-09-19,231.4929962158203,233.2050018310547,231.08900451660156,232.85800170898438,12712600,"[178, 10178)",244.25513885498046,249.7803746032715,233.50324935913085,243.25302609327846,223.75347262498323
